Id_Rssd,Region,N,asOfDate
1037003,Northern America,31,2000-09-30
1037003,Northern America,39,2000-12-31
1037003,Northern America,39,2001-03-31
1037003,Northern America,38,2001-06-30
1037003,Northern America,28,2001-09-30
1037003,Northern America,27,2001-12-31
1037003,Northern America,27,2002-03-31
1037003,Northern America,27,2002-06-30
1037003,Northern America,27,2002-09-30
1037003,Northern America,29,2002-12-31
1037003,Northern America,27,2003-03-31
1037003,Northern America,53,2003-06-30
1037003,Caribbean,1,2003-06-30
1037003,Northern America,51,2003-09-30
1037003,Caribbean,1,2003-09-30
1037003,Northern America,50,2003-12-31
1037003,Caribbean,1,2003-12-31
1037003,Northern America,49,2004-03-31
1037003,Caribbean,1,2004-03-31
1037003,Northern America,49,2004-06-30
1037003,Caribbean,1,2004-06-30
1037003,Northern America,49,2004-09-30
1037003,Caribbean,1,2004-09-30
1037003,Northern America,50,2004-12-31
1037003,Caribbean,1,2004-12-31
1037003,Northern America,50,2005-03-31
1037003,Caribbean,1,2005-03-31
1037003,Northern America,50,2005-06-30
1037003,Northern America,50,2005-09-30
1037003,Northern America,47,2005-12-31
1037003,Northern America,49,2006-03-31
1037003,Northern America,49,2006-06-30
1037003,Northern America,44,2006-09-30
1037003,Northern America,40,2006-12-31
1037003,Northern America,38,2007-03-31
1037003,Northern America,37,2007-06-30
1037003,Northern America,37,2007-09-30
1037003,Northern America,39,2007-12-31
1037003,Northern America,40,2008-03-31
1037003,Northern America,40,2008-06-30
1037003,Northern America,40,2008-09-30
1037003,Northern America,39,2008-12-31
1037003,Northern America,38,2009-03-31
1037003,Northern America,41,2009-06-30
1037003,Northern America,41,2009-09-30
1037003,Northern America,40,2009-12-31
1037003,Northern America,40,2010-03-31
1037003,Northern America,40,2010-06-30
1037003,Northern America,40,2010-09-30
1037003,Northern America,40,2010-12-31
1037003,Northern America,40,2011-03-31
1037003,Northern America,68,2011-06-30
1037003,Caribbean,9,2011-06-30
1037003,Europe,12,2011-06-30
1037003,Northern America,68,2011-09-30
1037003,Caribbean,9,2011-09-30
1037003,Europe,12,2011-09-30
1037003,Northern America,68,2011-12-31
1037003,Caribbean,9,2011-12-31
1037003,Europe,12,2011-12-31
1037003,Northern America,68,2012-03-31
1037003,Caribbean,9,2012-03-31
1037003,Europe,12,2012-03-31
1037003,Northern America,68,2012-06-30
1037003,Caribbean,9,2012-06-30
1037003,Europe,12,2012-06-30
1037003,Northern America,66,2012-09-30
1037003,Caribbean,9,2012-09-30
1037003,Europe,12,2012-09-30
1037003,Northern America,64,2012-12-31
1037003,Caribbean,9,2012-12-31
1037003,Europe,12,2012-12-31
1037003,Northern America,64,2013-03-31
1037003,Caribbean,9,2013-03-31
1037003,Europe,12,2013-03-31
1037003,Northern America,64,2013-06-30
1037003,Caribbean,9,2013-06-30
1037003,Europe,12,2013-06-30
1037003,Northern America,64,2013-09-30
1037003,Caribbean,9,2013-09-30
1037003,Europe,12,2013-09-30
1037003,Northern America,58,2013-12-31
1037003,Caribbean,8,2013-12-31
1037003,Europe,12,2013-12-31
1037003,Northern America,57,2014-03-31
1037003,Caribbean,8,2014-03-31
1037003,Europe,12,2014-03-31
1037003,Northern America,53,2014-06-30
1037003,Caribbean,8,2014-06-30
1037003,Europe,11,2014-06-30
1037003,Northern America,52,2014-09-30
1037003,Caribbean,8,2014-09-30
1037003,Europe,11,2014-09-30
1037003,Northern America,52,2014-12-31
1037003,Caribbean,7,2014-12-31
1037003,Europe,10,2014-12-31
1037003,Northern America,51,2015-03-31
1037003,Caribbean,7,2015-03-31
1037003,Europe,10,2015-03-31
1037003,Northern America,47,2015-06-30
1037003,Caribbean,7,2015-06-30
1037003,Europe,10,2015-06-30
1037003,Northern America,47,2015-09-30
1037003,Caribbean,7,2015-09-30
1037003,Europe,10,2015-09-30
1037003,Northern America,46,2015-12-31
1037003,Caribbean,7,2015-12-31
1037003,Europe,10,2015-12-31
1037003,Northern America,46,2016-03-31
1037003,Europe,10,2016-03-31
1037003,Northern America,43,2016-06-30
1037003,Europe,10,2016-06-30
1037003,Northern America,36,2016-09-30
1037003,Europe,10,2016-09-30
1037003,Northern America,36,2016-12-31
1037003,Europe,10,2016-12-31
1037003,Northern America,34,2017-03-31
1037003,Europe,7,2017-03-31
1037003,Northern America,34,2017-06-30
1037003,Europe,7,2017-06-30
1037003,Northern America,32,2017-09-30
1037003,Europe,7,2017-09-30
1037003,Northern America,32,2017-12-31
1037003,Europe,5,2017-12-31
1037003,Northern America,32,2018-03-31
1037003,Europe,5,2018-03-31
1037003,Northern America,32,2018-06-30
1037003,Europe,5,2018-06-30
1037003,Northern America,32,2018-09-30
1037003,Europe,5,2018-09-30
1039502,Northern America,891,1999-12-31
1039502,East Asia,28,1999-12-31
1039502,Europe,133,1999-12-31
1039502,Central and South America,63,1999-12-31
1039502,Caribbean,48,1999-12-31
1039502,Africa,5,1999-12-31
1039502,Southeast Asia and Oceania,32,1999-12-31
1039502,Middle East,4,1999-12-31
1039502,South Asia,3,1999-12-31
1039502,Northern America,876,2000-03-31
1039502,East Asia,28,2000-03-31
1039502,Europe,132,2000-03-31
1039502,Central and South America,62,2000-03-31
1039502,Southeast Asia and Oceania,32,2000-03-31
