Rank,Name,RSSDID,Location,TotalAsset
123,INTERNATIONAL BANCSHARES CORPORATION                                                                                    ,1104231,"LAREDO,TX",11845501.0
124,CADENCE BANCORPORATION                                                                                                  ,4882802,"HOUSTON,TX",11759837.0
125,"PACIFIC PREMIER BANCORP, INC.                                                                                           ",3489594,"IRVINE,CA",11503881.0
126,CVB FINANCIAL CORP.                                                                                                     ,1029222,"ONTARIO,CA",11480341.0
127,AMERIS BANCORP                                                                                                          ,1082067,"MOULTRIE,GA",11428994.0
128,FIRST AMERICAN FINANCIAL CORPORATION                                                                                    ,1250101,"SANTA ANA,CA",11380129.0
129,"HEARTLAND FINANCIAL USA, INC.                                                                                           ",1206546,"DUBUQUE,IA",11335132.0
130,EASTERN BANK CORPORATION                                                                                                ,1427239,"BOSTON,MA",11213393.0
131,"PINNACLE BANCORP, INC.                                                                                                  ",1053272,"OMAHA,NE",10751882.0
132,"COMMUNITY BANK SYSTEM, INC.                                                                                             ",1048867,"DEWITT,NY",10659567.0
133,"CUSTOMERS BANCORP, INC                                                                                                  ",4284536,"WYOMISSING,PA",10617198.0
134,BANNER CORPORATION                                                                                                      ,2126977,"WALLA WALLA,WA",10514303.0
135,"BANC OF CALIFORNIA, INC.                                                                                                ",3153130,"SANTA ANA,CA",10260822.0
