Id_Rssd,N,asOfDate
1069778,5,2001-09-30
1069778,5,2001-12-31
1069778,5,2002-03-31
1069778,5,2002-06-30
1069778,5,2002-09-30
1069778,5,2002-12-31
1069778,5,2003-03-31
1069778,5,2003-06-30
1069778,5,2003-09-30
1069778,5,2003-12-31
1069778,5,2004-03-31
1069778,6,2004-06-30
1069778,6,2004-09-30
1069778,7,2004-12-31
1069778,7,2005-03-31
1069778,7,2005-06-30
1069778,8,2005-09-30
1069778,8,2005-12-31
1069778,8,2006-03-31
1069778,8,2006-06-30
1069778,35,2006-09-30
1069778,35,2006-12-31
1069778,38,2007-03-31
1069778,38,2007-06-30
1069778,40,2007-09-30
1069778,41,2007-12-31
1069778,42,2008-03-31
1069778,47,2008-06-30
1069778,47,2008-09-30
1069778,47,2008-12-31
1069778,47,2009-03-31
1069778,47,2009-06-30
1069778,50,2009-09-30
1069778,56,2009-12-31
1069778,52,2010-03-31
1069778,52,2010-06-30
1069778,46,2010-09-30
1069778,46,2010-12-31
1069778,44,2011-03-31
1069778,44,2011-06-30
1069778,43,2011-09-30
1069778,43,2011-12-31
1069778,41,2012-03-31
1069778,40,2012-06-30
1069778,77,2012-09-30
1069778,80,2012-12-31
1069778,80,2013-03-31
1069778,80,2013-06-30
1069778,84,2013-09-30
1069778,89,2013-12-31
1069778,88,2014-03-31
1069778,88,2014-06-30
1069778,88,2014-09-30
1069778,88,2014-12-31
1069778,88,2015-03-31
1069778,85,2015-06-30
1069778,85,2015-09-30
1069778,85,2015-12-31
1069778,85,2016-03-31
1069778,85,2016-06-30
1069778,84,2016-09-30
1069778,84,2016-12-31
1069778,84,2017-03-31
1069778,82,2017-06-30
1069778,81,2017-09-30
1069778,81,2017-12-31
1069778,82,2018-03-31
1069778,82,2018-06-30
1069778,83,2018-09-30
1070345,2,1999-12-31
1070345,2,2000-03-31
1070345,2,2000-06-30
1070345,1,2000-09-30
1070345,1,2000-12-31
1070345,1,2001-03-31
1070345,2,2001-06-30
1070345,2,2001-09-30
1070345,2,2001-12-31
1070345,3,2002-03-31
1070345,3,2002-06-30
1070345,3,2002-09-30
1070345,4,2002-12-31
1070345,3,2003-03-31
1070345,3,2003-06-30
1070345,3,2003-09-30
1070345,3,2003-12-31
1070345,3,2004-03-31
1070345,3,2004-06-30
1070345,3,2004-09-30
1070345,3,2004-12-31
1070345,3,2005-03-31
1070345,3,2005-06-30
1070345,3,2005-09-30
1070345,3,2005-12-31
1070345,3,2006-03-31
1070345,3,2006-06-30
1070345,4,2006-09-30
1070345,4,2006-12-31
1070345,4,2007-03-31
1070345,4,2007-06-30
1070345,4,2007-09-30
1070345,4,2007-12-31
1070345,4,2008-03-31
1070345,4,2008-06-30
1070345,4,2008-09-30
1070345,4,2008-12-31
1070345,4,2009-03-31
1070345,4,2009-06-30
1070345,4,2009-09-30
1070345,4,2009-12-31
1070345,4,2010-03-31
1070345,4,2010-06-30
1070345,4,2010-09-30
1070345,4,2010-12-31
1070345,4,2011-03-31
1070345,4,2011-06-30
1070345,4,2011-09-30
1070345,4,2011-12-31
1070345,4,2012-03-31
1070345,4,2012-06-30
1070345,4,2012-09-30
1070345,2,2012-12-31
1070345,2,2013-03-31
1070345,2,2013-06-30
