"Type","V1","yearqtr"
"BHC",1697,1975-03-31
"FBO as BHC",37,1975-03-31
"SLHC",16,1975-03-31
"FHC - Foreign",1,1975-03-31
"BHC",1726,1975-06-30
"FBO as BHC",39,1975-06-30
"SLHC",16,1975-06-30
"FHC - Foreign",1,1975-06-30
"BHC",1746,1975-09-30
"FBO as BHC",39,1975-09-30
"SLHC",16,1975-09-30
"FHC - Foreign",1,1975-09-30
"BHC",1766,1975-12-31
"FBO as BHC",39,1975-12-31
"SLHC",16,1975-12-31
"FHC - Foreign",1,1975-12-31
"BHC",1779,1976-03-31
"FBO as BHC",40,1976-03-31
"SLHC",16,1976-03-31
"FHC - Foreign",1,1976-03-31
"BHC",1805,1976-06-30
"FBO as BHC",40,1976-06-30
"SLHC",16,1976-06-30
"FHC - Foreign",1,1976-06-30
"BHC",1830,1976-09-30
"FBO as BHC",41,1976-09-30
"SLHC",16,1976-09-30
"FHC - Foreign",1,1976-09-30
"BHC",1860,1976-12-31
"FBO as BHC",41,1976-12-31
"SLHC",17,1976-12-31
"FHC - Foreign",1,1976-12-31
"BHC",1888,1977-03-31
"FBO as BHC",44,1977-03-31
"SLHC",17,1977-03-31
"FHC - Foreign",1,1977-03-31
"BHC",1905,1977-06-30
"FBO as BHC",45,1977-06-30
"SLHC",17,1977-06-30
"FHC - Foreign",1,1977-06-30
"BHC",1923,1977-09-30
"FBO as BHC",48,1977-09-30
"SLHC",17,1977-09-30
"FHC - Foreign",1,1977-09-30
"BHC",1964,1977-12-31
"FBO as BHC",50,1977-12-31
"SLHC",18,1977-12-31
"FHC - Foreign",1,1977-12-31
"BHC",2007,1978-03-31
"FBO as BHC",50,1978-03-31
"SLHC",18,1978-03-31
"FHC - Foreign",1,1978-03-31
"BHC",2051,1978-06-30
"FBO as BHC",54,1978-06-30
"SLHC",19,1978-06-30
"FHC - Foreign",1,1978-06-30
"BHC",2100,1978-09-30
"FBO as BHC",54,1978-09-30
"SLHC",19,1978-09-30
"FHC - Foreign",1,1978-09-30
"BHC",2155,1978-12-31
"FBO as BHC",54,1978-12-31
"SLHC",19,1978-12-31
"FHC - Foreign",1,1978-12-31
"BHC",2204,1979-03-31
"FBO as BHC",53,1979-03-31
"SLHC",19,1979-03-31
"FHC - Foreign",1,1979-03-31
"BHC",2259,1979-06-30
"FBO as BHC",55,1979-06-30
"SLHC",19,1979-06-30
"FHC - Foreign",1,1979-06-30
"BHC",2328,1979-09-30
"FBO as BHC",57,1979-09-30
"SLHC",19,1979-09-30
"FHC - Foreign",1,1979-09-30
"BHC",2419,1979-12-31
"FBO as BHC",57,1979-12-31
"SLHC",20,1979-12-31
"FHC - Foreign",1,1979-12-31
"BHC",2542,1980-03-31
"SLHC",22,1980-03-31
"FBO as BHC",59,1980-03-31
"FHC - Foreign",1,1980-03-31
"BHC",2644,1980-06-30
"SLHC",22,1980-06-30
"FBO as BHC",59,1980-06-30
"FHC - Foreign",1,1980-06-30
"BHC",2764,1980-09-30
"SLHC",22,1980-09-30
"FBO as BHC",59,1980-09-30
"FHC - Foreign",1,1980-09-30
"BHC",2972,1980-12-31
"SLHC",22,1980-12-31
"FBO as BHC",60,1980-12-31
"FHC - Foreign",1,1980-12-31
"BHC",3090,1981-03-31
"SLHC",23,1981-03-31
"FBO as BHC",66,1981-03-31
"FHC - Foreign",1,1981-03-31
"BHC",3229,1981-06-30
"SLHC",24,1981-06-30
"FBO as BHC",66,1981-06-30
"FHC - Foreign",1,1981-06-30
"BHC",3397,1981-09-30
"SLHC",25,1981-09-30
"FBO as BHC",67,1981-09-30
"FHC - Foreign",1,1981-09-30
"BHC",3624,1981-12-31
"SLHC",25,1981-12-31
"FBO as BHC",68,1981-12-31
"FHC - Foreign",1,1981-12-31
"BHC",3812,1982-03-31
"SLHC",25,1982-03-31
"FBO as BHC",70,1982-03-31
"FHC - Foreign",1,1982-03-31
"BHC",4018,1982-06-30
"SLHC",25,1982-06-30
"FBO as BHC",75,1982-06-30
"FHC - Foreign",1,1982-06-30
"BHC",4229,1982-09-30
"SLHC",25,1982-09-30
"FBO as BHC",76,1982-09-30
"FHC - Foreign",2,1982-09-30
"BHC",4465,1982-12-31
"SLHC",26,1982-12-31
"FBO as BHC",77,1982-12-31
"FHC - Foreign",2,1982-12-31
"BHC",4687,1983-03-31
"SLHC",27,1983-03-31
"FBO as BHC",78,1983-03-31
"FHC - Foreign",2,1983-03-31
"BHC",4878,1983-06-30
"SLHC",27,1983-06-30
"FBO as BHC",79,1983-06-30
"FHC - Foreign",2,1983-06-30
"BHC",5084,1983-09-30
"SLHC",27,1983-09-30
"FBO as BHC",80,1983-09-30
"FHC - Foreign",2,1983-09-30
"BHC",5298,1983-12-31
"SLHC",28,1983-12-31
"FBO as BHC",81,1983-12-31
"FHC - Foreign",2,1983-12-31
"BHC",5460,1984-03-31
"SLHC",29,1984-03-31
"FBO as BHC",84,1984-03-31
"FHC - Foreign",2,1984-03-31
"BHC",5646,1984-06-30
"SLHC",29,1984-06-30
"FBO as BHC",83,1984-06-30
"FHC - Foreign",2,1984-06-30
"BHC",5810,1984-09-30
"SLHC",30,1984-09-30
"FBO as BHC",83,1984-09-30
"FHC - Foreign",2,1984-09-30
"BHC",5973,1984-12-31
"SLHC",31,1984-12-31
"FBO as BHC",86,1984-12-31
"FHC - Foreign",2,1984-12-31
"BHC",6095,1985-03-31
"SLHC",31,1985-03-31
"FBO as BHC",86,1985-03-31
"FHC - Foreign",2,1985-03-31
"BHC",6164,1985-06-30
"SLHC",33,1985-06-30
"FBO as BHC",85,1985-06-30
"FHC - Foreign",2,1985-06-30
"BHC",6252,1985-09-30
"SLHC",33,1985-09-30
"FBO as BHC",85,1985-09-30
"FHC - Foreign",2,1985-09-30
"BHC",6310,1985-12-31
"SLHC",39,1985-12-31
"FBO as BHC",84,1985-12-31
"FHC - Foreign",2,1985-12-31
"BHC",6342,1986-03-31
"SLHC",39,1986-03-31
"FBO as BHC",86,1986-03-31
"FHC - Foreign",2,1986-03-31
"BHC",6377,1986-06-30
"SLHC",39,1986-06-30
"FBO as BHC",88,1986-06-30
"FHC - Foreign",2,1986-06-30
"BHC",6384,1986-09-30
"SLHC",41,1986-09-30
"FBO as BHC",85,1986-09-30
"FHC - Foreign",2,1986-09-30
"BHC",6364,1986-12-31
"SLHC",43,1986-12-31
"FBO as BHC",84,1986-12-31
"FHC - Foreign",2,1986-12-31
"BHC",6357,1987-03-31
"SLHC",45,1987-03-31
"FBO as BHC",89,1987-03-31
"FHC - Foreign",2,1987-03-31
"BHC",6368,1987-06-30
"SLHC",45,1987-06-30
"FBO as BHC",87,1987-06-30
"FHC - Foreign",2,1987-06-30
"BHC",6401,1987-09-30
"SLHC",47,1987-09-30
"FBO as BHC",88,1987-09-30
"FHC - Foreign",2,1987-09-30
"BHC",6406,1987-12-31
"SLHC",49,1987-12-31
"FBO as BHC",90,1987-12-31
"FHC - Foreign",2,1987-12-31
"BHC",6409,1988-03-31
"SLHC",51,1988-03-31
"FBO as BHC",90,1988-03-31
"FHC - Foreign",2,1988-03-31
"BHC",6408,1988-06-30
"SLHC",53,1988-06-30
"FBO as BHC",90,1988-06-30
"FHC - Foreign",2,1988-06-30
"BHC",6405,1988-09-30
"SLHC",59,1988-09-30
"FBO as BHC",91,1988-09-30
"FHC - Foreign",2,1988-09-30
"BHC",6424,1988-12-31
"SLHC",67,1988-12-31
"FBO as BHC",92,1988-12-31
"FHC - Foreign",2,1988-12-31
"BHC",6423,1989-03-31
"SLHC",71,1989-03-31
"FBO as BHC",92,1989-03-31
