yearqtr,Id_Rssd,BHCK2170
1991-06-30,1068191,12279438
1991-09-30,1068191,12226080
1991-12-31,1068191,12332576
1992-03-31,1068191,12785691
1992-06-30,1068191,12682016
1992-09-30,1068191,13522885
1992-12-31,1068191,16246526
1993-03-31,1068191,16367245
1993-06-30,1068191,17246374
1993-09-30,1068191,17483163
1993-12-31,1068191,17669262
1994-03-31,1068191,16531262
1994-06-30,1068191,16497715
1994-09-30,1068191,17050495
1994-12-31,1068191,17820871
1995-03-31,1068191,18148333
1995-06-30,1068191,19370768
1995-09-30,1068191,20173130
1995-12-31,1068191,20254598
1996-03-31,1068191,20137982
1996-06-30,1068191,20322983
1996-09-30,1068191,20565805
1996-12-31,1068191,20851513
1997-03-31,1068191,21603478
1997-06-30,1068191,21584242
1997-09-30,1068191,25576135
1997-12-31,1068191,26730540
1998-03-31,1068191,26808479
1998-06-30,1068191,28187219
1998-09-30,1068191,27355096
1998-12-31,1068191,28271666
1999-03-31,1068191,28577908
1999-06-30,1068191,28161080
1999-09-30,1068191,28974622
1999-12-31,1068191,28996660
2000-03-31,1068191,28407979
2000-06-30,1068191,28584363
2000-09-30,1068191,28577193
2000-12-31,1068191,28563059
2001-03-31,1068191,28441188
2001-06-30,1068191,27948150
2001-09-30,1068191,28312675
2001-12-31,1068191,28413445
2002-03-31,1068191,24725679
2002-06-30,1068191,25348741
2002-09-30,1068191,26694465
2002-12-31,1068191,27555522
2003-03-31,1068191,27915334
2003-06-30,1068191,28342517
2003-09-30,1068191,30145494
2003-12-31,1068191,30565542
2004-03-31,1068191,31214021
2004-06-30,1068191,31485745
2004-09-30,1068191,31807491
2004-12-31,1068191,32566899
2005-03-31,1068191,32175286
2005-06-30,1068191,32982823
2005-09-30,1068191,32749538
2005-12-31,1068191,32758006
2006-03-31,1068191,35664134
2006-06-30,1068191,36282351
2006-09-30,1068191,35755596
2006-12-31,1068191,35330726
2007-03-31,1068191,34979265
2007-06-30,1068191,36422081
2007-09-30,1068191,55303286
2007-12-31,1068191,54629164
2008-03-31,1068191,55985225
2008-06-30,1068191,55309866
2008-09-30,1068191,54669893
2008-12-31,1068191,54355998
2009-03-31,1068191,51803676
2009-06-30,1068191,51485101
2009-09-30,1068191,52510852
2009-12-31,1068191,51554989
2010-03-31,1068191,51866804
2010-06-30,1068191,51771443
2010-09-30,1068191,53247308
2010-12-31,1068191,53801954
2011-03-31,1068191,52948510
2011-06-30,1068191,53050039
2011-09-30,1068191,54978707
2011-12-31,1068191,54450652
2012-03-31,1068191,55876654
2012-06-30,1068191,56622959
2012-09-30,1068191,56443000
2012-12-31,1068191,56153185
2013-03-31,1068191,56054966
2013-06-30,1068191,56113687
2013-09-30,1068191,56648251
2013-12-31,1068191,59476344
2014-03-31,1068191,61145753
2014-06-30,1068191,63797113
2014-09-30,1068191,64330629
2014-12-31,1068191,66298010
2015-03-31,1068191,68002661
2015-06-30,1068191,68845648
2015-09-30,1068191,70210178
2015-12-31,1068191,71044551
2016-03-31,1068191,72644967
2016-06-30,1068191,73954016
2016-09-30,1068191,100765412
2016-12-31,1068191,99714097
2017-03-31,1068191,100045506
1986-09-30,1069778,20871226
1986-12-31,1069778,26973412
1987-03-31,1069778,27151992
1987-06-30,1069778,28256323
1987-09-30,1069778,29858893
1987-12-31,1069778,36616938
1988-03-31,1069778,36640109
1988-06-30,1069778,36664063
1988-09-30,1069778,37966387
1988-12-31,1069778,42807930
1989-03-31,1069778,42194222
1989-06-30,1069778,41752755
1989-09-30,1069778,43155659
1989-12-31,1069778,45710068
1990-03-31,1069778,46710247
1990-06-30,1069778,47858597
1990-09-30,1069778,45684165
1990-12-31,1069778,45674409
1991-03-31,1069778,44545772
1991-06-30,1069778,43473570
1991-09-30,1069778,42440584
1991-12-31,1069778,45192889
1992-03-31,1069778,44381875
1992-06-30,1069778,45536443
1992-09-30,1069778,46894278
1992-12-31,1069778,51523011
1993-03-31,1069778,51233424
1993-06-30,1069778,53317150
1993-09-30,1069778,52338657
1993-12-31,1069778,61944946
1994-03-31,1069778,61252769
1994-06-30,1069778,64021891
1994-09-30,1069778,64052573
1994-12-31,1069778,77550686
1995-03-31,1069778,75814971
1995-06-30,1069778,76482283
1995-09-30,1069778,75198208
1995-12-31,1069778,73506886
1996-03-31,1069778,72684098
1996-06-30,1069778,72102425
1996-09-30,1069778,69637138
1996-12-31,1069778,73173583
1997-03-31,1069778,71272559
1997-06-30,1069778,71981124
1997-09-30,1069778,71729206
1997-12-31,1069778,75100908
1998-03-31,1069778,72480347
1998-06-30,1069778,75918425
1998-09-30,1069778,76253071
1998-12-31,1069778,77231940
1999-03-31,1069778,74907505
1999-06-30,1069778,75575141
1999-09-30,1069778,72995146
1999-12-31,1069778,75427750
2000-03-31,1069778,74320833
2000-06-30,1069778,75746712
2000-09-30,1069778,69938144
2000-12-31,1069778,69915985
2001-03-31,1069778,71016788
2001-06-30,1069778,70018773
2001-09-30,1069778,71847674
2001-12-31,1069778,69570206
2002-03-31,1069778,66582915
2002-06-30,1069778,66937685
2002-09-30,1069778,67804345
2002-12-31,1069778,66409507
2003-03-31,1069778,68629625
2003-06-30,1069778,67281081
2003-09-30,1069778,68689812
2003-12-31,1069778,68193348
2004-03-31,1069778,74123297
2004-06-30,1069778,73141914
2004-09-30,1069778,77310144
2004-12-31,1069778,79742776
2005-03-31,1069778,83392942
2005-06-30,1069778,90809278
2005-09-30,1069778,93253039
2005-12-31,1069778,91992332
2006-03-31,1069778,93308063
2006-06-30,1069778,94937396
2006-09-30,1069778,98464925
2006-12-31,1069778,101854178
2007-03-31,1069778,122586871
2007-06-30,1069778,125736711
2007-09-30,1069778,131477883
2007-12-31,1069778,138976249
2008-03-31,1069778,140026464
2008-06-30,1069778,142791491
2008-09-30,1069778,145644536
2008-12-31,1069778,291092876
2009-03-31,1069778,286472490
2009-06-30,1069778,279788303
2009-09-30,1069778,271449905
2009-12-31,1069778,269921958
2010-03-31,1069778,265432977
2010-06-30,1069778,261769262
2010-09-30,1069778,260174102
2010-12-31,1069778,264414112
2011-03-31,1069778,259500612
2011-06-30,1069778,263259894
2011-09-30,1069778,269555466
2011-12-31,1069778,271407158
2012-03-31,1069778,296119070
2012-06-30,1069778,299712018
2012-09-30,1069778,301077311
2012-12-31,1069778,305285879
2013-03-31,1069778,300945933
2013-06-30,1069778,304547667
2013-09-30,1069778,308912603
2013-12-31,1069778,320596232
2014-03-31,1069778,323586973
2014-06-30,1069778,327251474
2014-09-30,1069778,334602342
2014-12-31,1069778,345243081
2015-03-31,1069778,351162105
2015-06-30,1069778,354201925
2015-09-30,1069778,362137164
2015-12-31,1069778,358690085
2016-03-31,1069778,361187040
2016-06-30,1069778,361528406
2016-09-30,1069778,369441905
2016-12-31,1069778,366872249
1986-09-30,1070345,3207136
1986-12-31,1070345,3496983
1987-03-31,1070345,3495477
1987-06-30,1070345,3643914
1987-09-30,1070345,3785754
1987-12-31,1070345,4055045
1988-03-31,1070345,4458070
1988-06-30,1070345,4484519
1988-09-30,1070345,4907030
1988-12-31,1070345,5248700
1989-03-31,1070345,5361331
1989-06-30,1070345,5489891
1989-09-30,1070345,5730303
1989-12-31,1070345,7146207
1990-03-31,1070345,7041896
1990-06-30,1070345,7356366
1990-09-30,1070345,7671155
1990-12-31,1070345,7958218
1991-03-31,1070345,8046600
1991-06-30,1070345,8296206
1991-09-30,1070345,8817197
1991-12-31,1070345,8819126
1992-03-31,1070345,9103878
1992-06-30,1070345,9516872
1992-09-30,1070345,9887895
1992-12-31,1070345,10232398
1993-03-31,1070345,10479240
1993-06-30,1070345,10923186
1993-09-30,1070345,11379458
1993-12-31,1070345,11981117
1994-03-31,1070345,12528275
1994-06-30,1070345,12772057
1994-09-30,1070345,14295669
1994-12-31,1070345,14972620
1995-03-31,1070345,15607622
1995-06-30,1070345,16178337
1995-09-30,1070345,17161765
1995-12-31,1070345,17056601
1996-03-31,1070345,18854129
1996-06-30,1070345,19855498
